participant,block1mean,block2mean,block3mean,block4mean,finalblockmean,instruction,rotationSize
ss_1005,0.061105126603584685,0.5806665384688287,0.4652102823453096,0.4668197548337179,0.8185686396027927,non-instructed,60
ss_2505,0.5731360941733733,0.2806980051076569,0.23729608248098596,0.3357037572126341,0.73280832001938,non-instructed,60
ts_1505,0.110423559820618,0.8229909888825875,1.0719275084537732,0.8157570057322753,0.9558505657253199,non-instructed,60
ud_2605,-0.2508519845275578,0.4454597189728726,0.5780413083992317,0.5961099729262719,0.7174335343835538,non-instructed,60
yl_1005,-0.11682070427932155,0.19867444028979817,0.35598874018933013,0.3331091717356206,0.630272542070808,non-instructed,60
ag_1606,1.0073655390277187,1.205559964252786,1.079262085080789,1.0560716828042331,1.0858340446666992,instructed,60
ak_0106,0.9958263074189954,1.103197714508132,1.0207472624595235,0.8270047919797119,0.9596212090371412,instructed,60
ap_1705,1.0666120213100319,1.0387270907509876,1.1761995550705173,1.1580338710326736,1.0220424146804519,instructed,60
at_1605,0.8173625969418846,0.8597891980613986,0.9368235725543064,1.0899274451732488,0.8853836853044575,instructed,60
bg_0705,0.36620848928624933,0.46436797524406376,0.2625182618934934,0.5634579845087058,0.674750495850595,instructed,60
cn_2205,0.8391937931354488,0.9689022151111444,1.029432415589865,1.1230843949040907,0.9881795380562898,instructed,60
da_1505,0.9541202951609212,0.273355878309008,0.40710612077292274,0.5734666210845363,0.8525160383046607,instructed,60
fm_1406,0.9377873687332845,1.1606515485159365,0.9877362282578848,0.8773167217169964,0.8960141073816824,instructed,60
he_0906,0.977574983557693,0.6362270932995582,0.8005117226593639,1.1168704805486533,0.9259037964068614,instructed,60
im_1705,0.26508972590731,0.692780812711029,0.6269311871088683,0.6606806928236164,0.7695695864233204,instructed,60
mb_0206,0.8566825490871692,0.9558291128590082,0.8015162568499822,1.218523765773041,0.9500918148310813,instructed,60
mp_0906,0.5050445297569747,1.1651101157691472,0.9026376494876767,0.9699316502373126,0.8590156484524579,instructed,60
mw_0706,1.1322998180520967,0.9157896158549378,0.9416426805697733,0.7982514795656769,0.8345542938102545,instructed,60
nj_3105,0.795905325965288,0.920327171364732,0.8248247413910398,0.6811565665521446,0.9035237206949436,instructed,60
ns_2405,0.8031105522589147,0.8006138175221239,0.6786620379233353,0.73172955337675,0.8928415725338618,instructed,60
pa_0906,0.3308769036003531,0.7210709440018415,0.8916394339547901,0.8119692803799097,1.0446562726129054,instructed,60
rr_2206,-0.592742801677647,0.12002531369910674,0.7627550743942684,0.7412841484076049,0.9409177470714989,instructed,60
sa_2106,1.1283466808150338,1.0307449713480177,0.9096300197781612,0.8970911532224604,0.9662771879744473,instructed,60
sd_2505,1.2403625222424104,0.6351982506638479,0.8681849168623901,0.5914865044032009,0.9118400330575778,instructed,60
sm_1805,0.9332493340177663,0.9538586888847912,1.0293497763649464,0.845648546531445,0.9871777229375859,instructed,60
tp_2405,0.7768583265874333,0.5855684470916712,1.0057352925557417,0.9631524494258515,0.901932318289265,instructed,60
vb_0706,0.4767421758869729,0.6053675477728707,0.72671023743658,0.6266833252462932,0.9498868212178788,instructed,60
ym_2206,0.4590269007822535,0.5412694371227366,0.78184375429291,0.753329937449201,0.8708468128326371,instructed,60
ys_1605,0.8755780590619978,1.2596482467251435,0.9366960870260878,0.8646031037103924,0.823486167644765,instructed,60
